File Path,Function Name,Unprotected Accesses
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/tools/testing/selftests/kvm/dirty_log_perf_test.c,"static void run_test(enum vm_guest_mode mode, void *arg)",vcpu_last_completed_iteration[i]
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/net/socket.c,"static void __sock_release(struct socket *sock, struct inode *inode)",sock->ops
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/net/socket.c,"struct file *do_accept(struct file *file, unsigned file_flags,       struct sockaddr __user *upeer_sockaddr,       int __user *upeer_addrlen, int flags)",sock->ops
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/net/core/sock_reuseport.c,"struct sock *reuseport_migrate_sock(struct sock *sk,    struct sock *migrating_sk,    struct sk_buff *skb)",sock_net(sk
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/net/core/dev.c,"bool napi_complete_done(struct napi_struct *n, int work_done)",n->state
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/net/core/stream.c,"int sk_stream_wait_connect(struct sock *sk, long *timeo_p)",sk->sk_state
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/net/core/stream.c,"int sk_stream_wait_memory(struct sock *sk, long *timeo_p)","sk->sk_err,sk->sk_shutdown"
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/net/bridge/br_device.c,"static int br_fill_forward_path(struct net_device_path_ctx *ctx,struct net_device_path *path)",f->dst
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/net/mptcp/sockopt.c,"void mptcp_sockopt_sync(struct mptcp_sock *msk, struct sock *ssk)",subflow->setsockopt_seq
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/net/mptcp/sockopt.c,"void mptcp_sockopt_sync_locked(struct mptcp_sock *msk, struct sock *ssk)",subflow->setsockopt_seq
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/net/mptcp/protocol.c,"static int mptcp_stream_accept(struct socket *sock, struct socket *newsock,       int flags, bool kern)","msk->first,msk->first,msk->first"
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/net/mptcp/options.c,"static void mptcp_set_rwin(struct tcp_sock *tp, struct tcphdr *th)","sock_net(ssk,sock_net(ssk,sock_net(ssk"
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/net/dccp/proto.c,"int dccp_sendmsg(struct sock *sk, struct msghdr *msg, size_t len)",dp->dccps_mss_cache
https://elixir.bootlin.com/linux/v6.6/source/x-v6.6/net/netfilter/nf_conncount.c,"bool nf_conncount_gc_list(struct net *net,  struct nf_conncount_list *list)",list->last_gc
